imf_ccode,year,art8,restrict,flexible,gnpcap,regnorm,gdpgrow,resgdp,bopgdp,useimfcr,surveil,univers,resvol,totvol,tradedep,lastrest,lastrest2,lastrest3,military,termlim,parli,shift_left,leftshift_inc,rightshift_inc,leftshift_exc,rightshift_exc,leftshift_inc_leg,rightshift_inc_leg,leftshift_exc_leg,rightshift_exc_leg,shift_left_fixed,leftrule,l_leftshift_inc,l_rightshift_inc,l_leftshift_exc,l_rightshift_exc,l_leftshift_inc_leg,l_rightshift_inc_leg,l_leftshift_exc_leg,l_rightshift_exc_leg,year2,year3,interact1,interact2,interact3,interact4,interact5
62,1983,1,1,0,1240,79.4117660522461,1.7074235677719116,0.020037800073623657,-6.576099872589111,1,1,39.041099548339844,-3.2295753955841064,2.9407958984375,36.12769317626953,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3932289,7797729280,0,0,0,0,0
62,1984,1,1,1,1130,82.35294342041016,1.1553518772125244,0.016951600089669228,-6.422830104827881,1,1,41.095890045166016,-3.2295753955841064,2.9407958984375,34.65742492675781,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3936256,7809531904,0,0,0,0,0
62,1985,1,1,1,930,82.35294342041016,1.9610775709152222,0.03514710068702698,-4.378201961517334,1,1,40.81632995605469,-3.2295753955841064,2.9407958984375,33.759620666503906,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3940225,7821346816,0,0,0,0,0
62,1986,1,1,1,760,82.35294342041016,1.175730586051941,0.07218430191278458,-5.488685131072998,1,1,40.5405387878418,-3.2295753955841064,2.9407958984375,45.11271286010742,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3944196,7833173504,0,0,0,0,0
62,1987,1,1,1,970,82.857147216796875,3.4068281650543213,0.09159679710865021,-6.141366958618164,1,1,41.721858978271484,-3.2295753955841064,2.9407958984375,48.21122741699219,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3948169,7845011968,0,0,0,0,0
62,1988,1,1,1,1350,82.857147216796875,4.074357986450195,0.09818720072507858,-3.3568029403686523,1,1,41.721858978271484,-3.2295753955841064,2.9407958984375,49.19314193725586,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3952144,7856862208,0,0,0,0,0
62,1989,1,1,1,1560,82.857147216796875,3.184779405593872,0.03054339997470379,-8.789039611816406,1,1,43.70861053466797,-3.2295753955841064,2.9407958984375,48.75874710083008,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,3956121,7868724736,0,0,0,0,0
62,1990,1,1,0,1650,83.33332824707031,-6.684741497039795,0.032416000962257385,-8.381513595581055,1,1,46.05263137817383,-3.2295753955841064,2.9407958984375,48.604251861572266,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,NA,1,0,0,0,0,0,0,0,0,3960100,7880599040,1,1,1,1,1
62,1991,1,1,1,1550,83.33332824707031,1.2009460926055908,0.24106797582983486,-6.586932182312012,1,1,46.45161056518555,-3.2295753955841064,2.9407958984375,46.326629638671875,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,1,0,1,0,1,0,1,0,3964081,7892485120,0,0,0,0,1
62,1992,1,1,1,1420,83.33332824707031,2.0118937492370605,0.32687996609426956,-7.6593918800354,1,1,45.85987091064453,-3.2295753955841064,2.9407958984375,44.352989196777344,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3968064,7904383488,0,0,0,0,1
62,1993,1,1,1,1400,83.33332824707031,-0.04018700122833252,0.02406490035355091,-9.3061676025390625,1,1,44.88636016845703,-3.2295753955841064,2.9407958984375,56.774681091308594,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3972049,7916293632,0,0,0,0,1
62,1994,1,1,1,1420,91.66667175292969,1.766771912574768,0.0340753011405468,-8.63071060180664,1,1,49.162010192871094,-3.2295753955841064,2.9407958984375,59.94937515258789,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3976036,7928215552,0,0,0,0,1
62,1995,1,1,1,1415,94.44444274902344,2.008105993270874,0.058050498366355896,-3.6787490844726562,0,1,61.11111068725586,-3.2295753955841064,2.9407958984375,47.7215461730957,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3980025,7940149760,0,0,0,0,1
62,1996,1,0,1,4971.886886542778,94.44444274902344,-1.6860833168029785,0.19881950318813324,-23.274628382958298,0,1,74.5762710571289,-3.2295753955841064,2.9407958984375,76.48070526123047,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3984016,7952095744,0,0,0,0,1
62,1997,1,0,1,10218.795610860388,94.44444274902344,15.321646192500495,0.4393356381986219,-13.231913260281376,0,1,77.65363311767578,-3.2295753955841064,2.9407958984375,159.74238600747432,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,3988009,7964054016,0,0,0,0,1
63,1967,1,1,0,1200,25,11.004913330078125,0.016357600688934326,-0.02414499968290329,0,0,29.41176986694336,-4.502519130706787,2.9050419330596924,19.983903884887695,0,0,0,0.6319290978276625,-0.09688041988151386,0.28165509284727513,0.09591169733542972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3869089,7610498048,NA,NA,NA,NA,NA
